Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
225;21100905324;"Journal of Brand Strategy";journal;"2045855X, 20458568";0,209;Q4;7;28;105;1356;52;91;0,48;48,43;United Kingdom;Western Europe;"Henry Stewart Publications";"2018-2023";"Communication (Q3); Management of Technology and Innovation (Q4); Marketing (Q4); Social Psychology (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Psychology; Social Sciences"
226;21100421887;"Lecture Notes in Information Systems and Organisation";conference and proceedings;"21954968, 21954976";0,207;-;20;101;701;2858;461;655;0,65;28,30;Germany;Western Europe;"Springer International Publishing AG";"2013-2023";"Computer Science Applications; Information Systems; Information Systems and Management; Management Information Systems; Management of Technology and Innovation";"Business, Management and Accounting; Computer Science; Decision Sciences"
227;21100970236;"Estudios Gerenciales";journal;"01235923, 26656744";0,205;Q4;20;30;138;1931;157;138;1,25;64,37;Colombia;Latin America;"Universidad Icesi";"2009-2023";"Business and International Management (Q4); Economics and Econometrics (Q4); Finance (Q4); Management of Technology and Innovation (Q4); Marketing (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance"
228;21101038741;"Finance: Theory and Practice";journal;"25877089, 25875671";0,203;Q4;10;108;229;2710;200;229;0,81;25,09;Russian Federation;Eastern Europe;"Financial University under The Government of Russian Federation";"2017-2023";"Development (Q3); Economics, Econometrics and Finance (miscellaneous) (Q3); Business and International Management (Q4); Finance (Q4); Management of Technology and Innovation (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
229;16084;"Journal of Commercial Biotechnology";journal;"1478565X, 14628732";0,203;Q4;19;150;220;5082;243;218;1,19;33,88;Australia;Pacific Region;"";"2003-2023";"Biotechnology (Q4); Economics and Econometrics (Q4); Management of Technology and Innovation (Q4)";"Biochemistry, Genetics and Molecular Biology; Business, Management and Accounting; Economics, Econometrics and Finance"
230;21100432037;"Journal of Modern Project Management";journal;"23173963";0,202;Q4;14;28;125;1460;164;125;1,26;52,14;Canada;Northern America;"Mundo Press";"2013-2023";"Business and International Management (Q4); Management of Technology and Innovation (Q4); Strategy and Management (Q4)";"Business, Management and Accounting"
231;11600153421;"Journal of Technology Management and Innovation";journal;"07182724";0,202;Q4;35;36;108;1918;140;108;1,28;53,28;Chile;Latin America;"Journal of Technology Management &amp; Innovation Group";"2008-2023";"Management of Technology and Innovation (Q4)";"Business, Management and Accounting"
232;21101021407;"Operations Research and Decisions";journal;"23916060, 20818858";0,202;Q4;5;36;85;1320;77;85;0,83;36,67;Poland;Eastern Europe;"Wroclaw University of Science and Technology";"2019-2023";"Management of Technology and Innovation (Q4); Management Science and Operations Research (Q4); Modeling and Simulation (Q4); Statistics and Probability (Q4); Statistics, Probability and Uncertainty (Q4)";"Business, Management and Accounting; Decision Sciences; Mathematics"
233;21101073268;"Journal of Industrial Engineering and Engineering Management";journal;"10046062";0,198;Q4;8;122;372;5217;261;372;0,62;42,76;China;Asiatic Region;"Zhejiang University";"2019-2023";"Accounting (Q4); Business and International Management (Q4); Information Systems and Management (Q4); Management of Technology and Innovation (Q4); Management Science and Operations Research (Q4); Organizational Behavior and Human Resource Management (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Decision Sciences"
234;21100945266;"Science and Innovation";journal;"24099066, 24134996";0,195;Q4;9;42;177;1171;110;177;0,71;27,88;Ukraine;Eastern Europe;"Publishing House Akademperiodyka";"2014-2023";"Engineering (miscellaneous) (Q3); Law (Q3); Computer Science Applications (Q4); Information Systems and Management (Q4); Management of Technology and Innovation (Q4)";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering; Social Sciences"
