Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
221;21100390407;"Journal of Biomedical Physics and Engineering";journal;"22517200";0,332;Q3;22;64;247;1842;383;230;1,42;28,78;Iran;Middle East;"Shiraz University of Medical Sciences";"2015-2023";"Artificial Intelligence (Q3); Biomedical Engineering (Q3); Computer Science Applications (Q3); Computer Vision and Pattern Recognition (Q3); Physical Therapy, Sports Therapy and Rehabilitation (Q3); Radiation (Q3); Radiological and Ultrasound Technology (Q3); Radiology, Nuclear Medicine and Imaging (Q3); Bioengineering (Q4)";"Chemical Engineering; Computer Science; Engineering; Health Professions; Medicine; Physics and Astronomy"
222;21101072121;"Journal of Geo-Information Science";journal;"15608999";0,330;Q3;22;177;577;7006;889;577;1,54;39,58;China;Asiatic Region;"Science China Press";"2017-2023";"Artificial Intelligence (Q3); Computer Science Applications (Q3); Computers in Earth Sciences (Q3); Earth and Planetary Sciences (miscellaneous) (Q3); Information Systems (Q3)";"Computer Science; Earth and Planetary Sciences"
223;21101017116;"Journal of Advances in Information Technology";journal;"17982340";0,323;Q3;19;160;175;5252;595;175;3,26;32,83;United States;Northern America;"Engineering and Technology Publishing";"2019-2023";"Artificial Intelligence (Q3); Computer Networks and Communications (Q3); Computer Science Applications (Q3); Information Systems (Q3); Software (Q3)";"Computer Science"
224;21101077110;"Cognitive Computation and Systems";journal;"25177567";0,322;Q3;10;25;90;935;135;88;1,43;37,40;United Kingdom;Western Europe;"John Wiley and Sons Inc.";"2019-2023";"Artificial Intelligence (Q3); Computer Science Applications (Q3); Computer Vision and Pattern Recognition (Q3); Cognitive Neuroscience (Q4); Experimental and Cognitive Psychology (Q4)";"Computer Science; Neuroscience; Psychology"
225;11300153726;"Intelligent Data Analysis";journal;"1088467X, 15714128";0,322;Q3;52;91;253;3618;294;236;1,02;39,76;Netherlands;Western Europe;"IOS Press BV";"1997-2023";"Artificial Intelligence (Q3); Computer Vision and Pattern Recognition (Q3); Theoretical Computer Science (Q4)";"Computer Science; Mathematics"
226;21100863713;"International Journal of Knowledge and Systems Science";journal;"19478216, 19478208";0,317;Q3;11;13;53;613;70;53;0,91;47,15;United States;Northern America;"IGI Global Publishing";"2017-2023";"Artificial Intelligence (Q3); Information Systems (Q3); Information Systems and Management (Q3); Management of Technology and Innovation (Q3); Organizational Behavior and Human Resource Management (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences"
227;110565;"IEEE International Conference on Fuzzy Systems";conference and proceedings;"10987584";0,316;-;66;139;592;3313;584;586;0,96;23,83;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1994-2009, 2011-2015, 2017-2022";"Applied Mathematics; Artificial Intelligence; Software; Theoretical Computer Science";"Computer Science; Mathematics"
228;21100890645;"International Journal of Advances in Intelligent Informatics";journal;"25483161, 24426571";0,315;Q3;16;40;86;1617;154;86;1,69;40,43;Indonesia;Asiatic Region;"Universitas Ahmad Dahlan";"2015-2023";"Artificial Intelligence (Q3); Computer Vision and Pattern Recognition (Q3); Human-Computer Interaction (Q4)";"Computer Science"
229;21100832761;"International Journal of Fuzzy Logic and Intelligent Systems";journal;"2093744X, 15982645";0,312;Q3;17;40;120;1255;189;120;1,85;31,38;South Korea;Asiatic Region;"Korean Institute of Intelligent Systems";"2017-2023";"Artificial Intelligence (Q3); Computational Theory and Mathematics (Q3); Computer Science Applications (Q3); Logic (Q3); Signal Processing (Q3)";"Computer Science; Mathematics"
230;21101044836;"Journal of Computer Science and Technology(Argentina)";journal;"16666046, 16666038";0,312;Q3;5;17;34;516;32;32;0,94;30,35;Argentina;Latin America;"Facultad de Informatica, Universidad Nacional de La Plata";"2021-2023";"Artificial Intelligence (Q3); Computer Science Applications (Q3); Computer Science (miscellaneous) (Q3); Computer Vision and Pattern Recognition (Q3); Hardware and Architecture (Q3); Software (Q3)";"Computer Science"
