Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
64;14500154708;"Statistical Journal of the IAOS";journal;"18747655";0,366;Q3;22;55;391;1451;239;352;0,45;26,38;Netherlands;Western Europe;"IOS Press BV";"2007-2009, 2011-2023";"Economics and Econometrics (Q3); Management Information Systems (Q3); Statistics, Probability and Uncertainty (Q3)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance"
65;144979;"Records Management Journal";journal;"09565698";0,365;Q3;25;14;60;646;121;58;1,33;46,14;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1989-1991, 1994-2023";"Library and Information Sciences (Q2); Management Information Systems (Q3)";"Business, Management and Accounting; Social Sciences"
66;4700152802;"Journal of Business and Finance Librarianship";journal;"15470644, 08963568";0,360;Q3;20;17;62;663;72;62;0,88;39,00;United States;Northern America;"Routledge";"1990-1992, 1994, 1996-2023";"Library and Information Sciences (Q2); E-learning (Q3); Management Information Systems (Q3); Marketing (Q3)";"Business, Management and Accounting; Social Sciences"
67;21100902638;"Contemporary Management Research";journal;"18135498";0,354;Q3;8;9;31;609;77;31;1,94;67,67;Taiwan;Asiatic Region;"Academy of Taiwan Information Systems Research";"2018-2023";"Economics and Econometrics (Q3); Management Information Systems (Q3); Management, Monitoring, Policy and Law (Q3); Management of Technology and Innovation (Q3); Marketing (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance; Environmental Science"
68;21100872779;"Management Systems in Production Engineering";journal;"22990461, 24505781";0,349;Q3;17;52;133;2281;314;133;2,14;43,87;Germany;Western Europe;"Sciendo";"2018-2023";"Industrial and Manufacturing Engineering (Q2); Management Information Systems (Q3); Management of Technology and Innovation (Q3)";"Business, Management and Accounting; Engineering"
69;144815;"Computational Management Science";journal;"1619697X, 16196988";0,339;Q3;40;48;78;1967;115;75;1,50;40,98;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"2005-2023";"Business, Management and Accounting (miscellaneous) (Q3); Information Systems (Q3); Management Information Systems (Q3); Management Science and Operations Research (Q3); Statistics, Probability and Uncertainty (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences"
70;17500155101;"Lecture Notes in Business Information Processing";book series;"18651348";0,339;Q3;63;664;1884;16465;2195;1618;1,16;24,80;Germany;Western Europe;"Springer Verlag";"2008-2023";"Business and International Management (Q3); Control and Systems Engineering (Q3); Information Systems (Q3); Information Systems and Management (Q3); Management Information Systems (Q3); Modeling and Simulation (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering; Mathematics"
71;21100913325;"Logforum";journal;"1734459X, 18952038";0,339;Q3;14;44;124;2121;253;124;1,60;48,20;Poland;Eastern Europe;"Poznan School of Logistics";"2019-2023";"Information Systems and Management (Q3); Management Information Systems (Q3); Management Science and Operations Research (Q3)";"Business, Management and Accounting; Decision Sciences"
72;21100892782;"Journal of Payments Strategy and Systems";journal;"17501806, 17501814";0,325;Q3;7;25;119;854;89;106;0,62;34,16;United Kingdom;Western Europe;"Henry Stewart Publications";"2018-2023";"Accounting (Q3); Information Systems (Q3); Information Systems and Management (Q3); Management Information Systems (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences"
73;6200180168;"International Journal of Electronic Marketing and Retailing";journal;"17411025, 17411033";0,323;Q3;16;18;72;1125;100;71;1,04;62,50;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2006-2023";"Business and International Management (Q3); Management Information Systems (Q3); Marketing (Q3)";"Business, Management and Accounting"
74;21100896488;"International Journal of Business Intelligence Research";journal;"19473605, 19473591";0,308;Q3;8;3;16;129;38;16;2,45;43,00;United States;Northern America;"IGI Global Publishing";"2018-2023";"Information Systems and Management (Q3); Management Information Systems (Q3); Statistics, Probability and Uncertainty (Q3)";"Business, Management and Accounting; Decision Sciences"
75;3900148214;"International Journal of Business Information Systems";journal;"17460972, 17460980";0,302;Q3;34;81;236;4629;319;235;1,03;57,15;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2005-2023";"Information Systems and Management (Q3); Management Information Systems (Q3); Management of Technology and Innovation (Q3)";"Business, Management and Accounting; Decision Sciences"
76;12100156732;"International Journal of Business Data Communications and Networking";journal;"15480631, 1548064X";0,299;Q3;14;0;18;0;25;18;1,38;0,00;United States;Northern America;"IGI Publishing";"2005-2022";"Computer Networks and Communications (Q3); Management Information Systems (Q3)";"Business, Management and Accounting; Computer Science"
77;21100867370;"International Journal of eBusiness and eGovernment Studies";journal;"21460744";0,299;Q3;12;20;89;960;195;89;1,86;48,00;Turkey;Middle East;"Social Sciences Research Society";"2018-2023";"Business and International Management (Q3); Computer Science Applications (Q3); Management Information Systems (Q3); Management of Technology and Innovation (Q3)";"Business, Management and Accounting; Computer Science"
78;12100154806;"International Journal of e-Business Research";journal;"1548114X, 15481131";0,285;Q3;27;23;46;1497;94;45;1,59;65,09;United States;Northern America;"IGI Publishing";"2005-2023";"Computer Science Applications (Q3); Management Information Systems (Q3)";"Business, Management and Accounting; Computer Science"
79;6200180167;"International Journal of Technology Intelligence and Planning";journal;"17402832, 17402840";0,281;Q3;19;0;11;0;22;11;1,88;0,00;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2004-2022";"Information Systems and Management (Q3); Management Information Systems (Q3); Management of Technology and Innovation (Q3)";"Business, Management and Accounting; Decision Sciences"
80;21100394266;"International Journal of Agile Systems and Management";journal;"17419174, 17419182";0,279;Q3;27;20;64;1454;119;64;1,36;72,70;Switzerland;Western Europe;"Inderscience";"2006-2009, 2011-2023";"Multidisciplinary (Q2); Computer Science (miscellaneous) (Q3); Decision Sciences (miscellaneous) (Q3); Engineering (miscellaneous) (Q3); Industrial and Manufacturing Engineering (Q3); Management Information Systems (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering; Multidisciplinary"
81;21100943826;"Journal of Transport and Supply Chain Management";journal;"19955235, 23108789";0,278;Q3;9;23;80;1246;101;74;1,17;54,17;South Africa;Africa;"AOSIS (Pty) Ltd";"2018-2023";"Industrial and Manufacturing Engineering (Q3); Information Systems and Management (Q3); Management Information Systems (Q3); Management Science and Operations Research (Q3); Transportation (Q3)";"Business, Management and Accounting; Decision Sciences; Engineering; Social Sciences"
82;21100843529;"Business Systems Research";journal;"18479375";0,274;Q3;15;8;96;390;150;96;1,48;48,75;Germany;Western Europe;"Walter de Gruyter GmbH";"2017-2023";"Economics, Econometrics and Finance (miscellaneous) (Q2); Information Systems (Q3); Management Information Systems (Q3); Management of Technology and Innovation (Q3)";"Business, Management and Accounting; Computer Science; Economics, Econometrics and Finance"
