Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
11;21101102903;"Journal of Intelligent and Connected Vehicles";journal;"23999802";1,511;Q1;14;20;43;743;306;43;7,55;37,15;United Kingdom;Western Europe;"Tsinghua University Press";"2018-2022";"Automotive Engineering (Q1); Control and Systems Engineering (Q1); Mechanical Engineering (Q1); Transportation (Q1)";"Engineering; Social Sciences"
12;21100827839;"Unmanned Systems";journal;"23013850, 23013869";1,493;Q1;28;74;74;3180;418;70;4,67;42,97;Singapore;Asiatic Region;"World Scientific";"2013-2023";"Aerospace Engineering (Q1); Automotive Engineering (Q1); Control and Optimization (Q1); Control and Systems Engineering (Q1)";"Engineering; Mathematics"
13;21100943534;"Transportation Research Interdisciplinary Perspectives";journal;"25901982";1,484;Q1;45;229;597;13919;4401;593;4,87;60,78;United Kingdom;Western Europe;"Elsevier Ltd";"2019-2023";"Automotive Engineering (Q1); Civil and Structural Engineering (Q1); Environmental Science (miscellaneous) (Q1); Geography, Planning and Development (Q1); Management Science and Operations Research (Q1); Transportation (Q1); Urban Studies (Q1)";"Decision Sciences; Engineering; Environmental Science; Social Sciences"
14;22153;"Vehicle System Dynamics";journal;"00423114, 17445159";1,268;Q1;112;219;371;8359;2051;368;5,05;38,17;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1972-2023";"Automotive Engineering (Q1); Mechanical Engineering (Q1); Safety, Risk, Reliability and Quality (Q1)";"Engineering"
15;20897;"Transportation Research Part F: Traffic Psychology and Behaviour";journal;"13698478";1,262;Q1;118;223;690;13275;3434;687;4,22;59,53;United Kingdom;Western Europe;"Elsevier Ltd";"1998-2023";"Applied Psychology (Q1); Automotive Engineering (Q1); Civil and Structural Engineering (Q1); Transportation (Q1)";"Engineering; Psychology; Social Sciences"
16;19400158456;"International Journal of Sustainable Transportation";journal;"15568334, 15568318";1,222;Q1;59;98;223;6417;1185;223;4,70;65,48;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2007-2023";"Automotive Engineering (Q1); Civil and Structural Engineering (Q1); Environmental Engineering (Q1); Geography, Planning and Development (Q1); Transportation (Q1); Renewable Energy, Sustainability and the Environment (Q2)";"Energy; Engineering; Environmental Science; Social Sciences"
17;21101066249;"IEEE Open Journal of Intelligent Transportation Systems";journal;"26877813";1,119;Q1;12;69;123;3830;558;120;4,63;55,51;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2020-2023";"Automotive Engineering (Q1); Computer Science Applications (Q1); Mechanical Engineering (Q1)";"Computer Science; Engineering"
18;19400158557;"European Transport Research Review";journal;"18668887, 18670717";1,106;Q1;43;46;176;2522;983;170;5,76;54,83;Germany;Western Europe;"Springer Verlag";"2009-2023";"Automotive Engineering (Q1); Mechanical Engineering (Q1); Transportation (Q2)";"Engineering; Social Sciences"
19;18300156720;"IEEE Intelligent Transportation Systems Magazine";journal;"19411197, 19391390";1,091;Q1;58;124;271;4313;1174;236;4,40;34,78;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2009-2023";"Automotive Engineering (Q1); Computer Science Applications (Q1); Mechanical Engineering (Q1)";"Computer Science; Engineering"
20;144889;"Journal of Intelligent Transportation Systems: Technology, Planning, and Operations";journal;"15472450, 15472442";1,076;Q1;59;83;162;3689;729;159;4,02;44,45;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2004-2023";"Aerospace Engineering (Q1); Applied Mathematics (Q1); Automotive Engineering (Q1); Computer Science Applications (Q1); Control and Systems Engineering (Q1); Information Systems (Q1); Software (Q1)";"Computer Science; Engineering; Mathematics"
21;21101022443;"Automotive Innovation";journal;"20964250, 25228765";1,071;Q1;24;48;111;2083;649;103;5,51;43,40;United States;Northern America;"Springer Science + Business Media";"2018-2023";"Automotive Engineering (Q1)";"Engineering"
22;20593;"Engineering Failure Analysis";journal;"13506307";1,031;Q1;102;757;2281;35026;11239;2280;4,86;46,27;Netherlands;Western Europe;"Elsevier B.V.";"1994-2023";"Aerospace Engineering (Q1); Automotive Engineering (Q1); Engineering (miscellaneous) (Q1); Industrial and Manufacturing Engineering (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1); Safety, Risk, Reliability and Quality (Q1)";"Engineering; Materials Science"
