Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
144;20409;"Proceedings of the Institution of Mechanical Engineers. Part I: Journal of Systems and Control Engineering";journal;"09596518, 20413041";0,443;Q2;53;154;364;5543;791;363;2,25;35,99;United Kingdom;Western Europe;"SAGE Publications Ltd";"1991, 1993-2023";"Control and Systems Engineering (Q2); Mechanical Engineering (Q2)";"Engineering"
145;21101101298;"Advanced Control for Applications: Engineering and Industrial Systems";journal;"25780727";0,439;Q3;7;60;65;1622;94;62;1,55;27,03;United States;Northern America;"John Wiley and Sons Inc.";"2019-2023";"Artificial Intelligence (Q3); Computer Networks and Communications (Q3); Computer Science Applications (Q3); Control and Systems Engineering (Q3); Energy (miscellaneous) (Q3); Modeling and Simulation (Q3); Signal Processing (Q3)";"Computer Science; Energy; Engineering; Mathematics"
146;21100331504;"International Review of Aerospace Engineering";journal;"19737459, 25332279";0,437;Q3;19;23;91;677;158;91;1,81;29,43;Italy;Western Europe;"Praise Worthy Prize S.r.l";"2014-2023";"Aerospace Engineering (Q2); Electrical and Electronic Engineering (Q2); Fluid Flow and Transfer Processes (Q2); Applied Mathematics (Q3); Control and Systems Engineering (Q3)";"Chemical Engineering; Engineering; Mathematics"
147;21101020135;"Systems";journal;"20798954";0,431;Q3;33;575;403;34689;1128;394;2,75;60,33;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2013-2023";"Information Systems and Management (Q2); Computer Networks and Communications (Q3); Control and Systems Engineering (Q3); Modeling and Simulation (Q3); Software (Q3)";"Computer Science; Decision Sciences; Engineering; Mathematics"
148;4900153217;"Journal of Computational and Nonlinear Dynamics";journal;"15551423";0,429;Q3;61;60;268;2156;501;263;2,14;35,93;United States;Northern America;"The American Society of Mechanical Engineers(ASME)";"2006-2023";"Mechanical Engineering (Q2); Applied Mathematics (Q3); Control and Systems Engineering (Q3)";"Engineering; Mathematics"
149;21100301602;"Journal of Robotics";journal;"16879600, 16879619";0,426;Q3;23;27;140;1113;274;140;1,83;41,22;Egypt;Africa/Middle East;"Hindawi Limited";"2012-2023";"Computer Science (miscellaneous) (Q2); Control and Systems Engineering (Q3)";"Computer Science; Engineering"
150;17898;"Conference Record - IAS Annual Meeting (IEEE Industry Applications Society)";conference and proceedings;"01972618";0,422;-;87;0;419;0;404;417;0,96;0,00;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1977-1990, 1992-2013, 2021-2022";"Control and Systems Engineering; Electrical and Electronic Engineering; Industrial and Manufacturing Engineering";"Engineering"
151;4400151708;"Zhongguo Shiyou Daxue Xuebao (Ziran Kexue Ban)/Journal of China University of Petroleum (Edition of Natural Science)";journal;"16735005";0,422;Q3;33;125;390;3388;484;390;1,20;27,10;China;Asiatic Region;"";"2006-2023";"Chemical Engineering (miscellaneous) (Q2); Mechanical Engineering (Q2); Control and Systems Engineering (Q3); Energy Engineering and Power Technology (Q3); Fuel Technology (Q3); Geotechnical Engineering and Engineering Geology (Q3)";"Chemical Engineering; Earth and Planetary Sciences; Energy; Engineering"
152;21101029746;"Foundations and Trends in Electric Energy Systems";journal;"23326557, 23326565";0,421;Q3;2;2;3;171;6;3;2,00;85,50;United States;Northern America;"Now Publishers Inc";"2020-2023";"Electrical and Electronic Engineering (Q2); Control and Systems Engineering (Q3); Energy Engineering and Power Technology (Q3)";"Energy; Engineering"
153;12443;"Real-Time Systems";journal;"09226443, 15731383";0,420;Q3;60;26;51;1211;73;41;1,17;46,58;Netherlands;Western Europe;"Springer Netherlands";"1989-2023";"Electrical and Electronic Engineering (Q2); Computer Networks and Communications (Q3); Computer Science Applications (Q3); Control and Optimization (Q3); Control and Systems Engineering (Q3); Modeling and Simulation (Q3)";"Computer Science; Engineering; Mathematics"
154;19700174656;"Automatika";journal;"00051144";0,412;Q3;31;117;164;3458;450;164;2,68;29,56;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2009-2023";"Computer Science (miscellaneous) (Q2); Control and Systems Engineering (Q3)";"Computer Science; Engineering"
155;24326;"International Journal of Uncertainty, Fuzziness and Knowledge-Based Systems";journal;"02184885, 17936411";0,411;Q3;65;67;195;2411;298;186;1,44;35,99;Singapore;Asiatic Region;"World Scientific Publishing Co. Pte Ltd";"1996-2023";"Artificial Intelligence (Q3); Control and Systems Engineering (Q3); Information Systems (Q3); Software (Q3)";"Computer Science; Engineering"
156;19700186851;"International Journal of Automation and Control";journal;"17407516, 17407524";0,410;Q3;23;30;110;1102;210;106;1,72;36,73;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2007-2023";"Industrial and Manufacturing Engineering (Q2); Control and Systems Engineering (Q3); Hardware and Architecture (Q3); Software (Q3)";"Computer Science; Engineering"
157;19600157217;"International Journal of Intelligent Transportation Systems Research";journal;"18688659";0,402;Q3;24;46;147;1681;328;147;1,66;36,54;Germany;Western Europe;"Springer Verlag";"2010-2023";"Aerospace Engineering (Q2); Automotive Engineering (Q2); Applied Mathematics (Q3); Computer Science Applications (Q3); Control and Systems Engineering (Q3); Information Systems (Q3); Neuroscience (miscellaneous) (Q3); Software (Q3)";"Computer Science; Engineering; Mathematics; Neuroscience"
158;4000149403;"International Journal of Ventilation";journal;"14733315";0,399;Q3;26;32;60;1084;118;59;1,23;33,88;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2005-2023";"Building and Construction (Q2); Civil and Structural Engineering (Q3); Control and Systems Engineering (Q3); Electrical and Electronic Engineering (Q3)";"Engineering"
