Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
64;21101020135;"Systems";journal;"20798954";0,431;Q2;33;575;403;34689;1128;394;2,75;60,33;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2013-2023";"Information Systems and Management (Q2); Computer Networks and Communications (Q3); Control and Systems Engineering (Q3); Modeling and Simulation (Q3); Software (Q3)";"Computer Science; Decision Sciences; Engineering; Mathematics"
65;21101072199;"EAI Endorsed Transactions on Scalable Information Systems";journal;"20329407";0,423;Q2;15;135;151;4864;416;151;2,51;36,03;Belgium;Western Europe;"European Alliance for Innovation";"2014-2023";"Information Systems and Management (Q2); Computer Networks and Communications (Q3); Computer Science Applications (Q3); Hardware and Architecture (Q3); Information Systems (Q3); Software (Q3)";"Computer Science; Decision Sciences"
66;21101019334;"Journal of Business Analytics";journal;"2573234X, 25732358";0,420;Q2;9;18;36;1197;84;35;2,56;66,50;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2018-2023";"Industrial and Manufacturing Engineering (Q2); Information Systems and Management (Q2); Management Information Systems (Q2); Artificial Intelligence (Q3); Information Systems (Q3); Management Science and Operations Research (Q3); Statistics, Probability and Uncertainty (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering"
67;19900193531;"Advances in Decision Sciences";journal;"20903367, 20903359";0,417;Q2;20;30;75;1565;278;75;4,94;52,17;Taiwan;Asiatic Region;"Asia University";"2010-2023";"Information Systems and Management (Q2); Decision Sciences (miscellaneous) (Q3); Management Science and Operations Research (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences"
68;21100888812;"Journal of Data and Information Science";journal;"2096157X";0,414;Q2;19;25;96;996;163;93;1,96;39,84;Poland;Eastern Europe;"De Gruyter Open Ltd.";"2016-2023";"Information Systems and Management (Q2); Library and Information Sciences (Q2); Public Administration (Q2)";"Decision Sciences; Social Sciences"
69;21100939697;"Synthesis Lectures on Information Concepts, Retrieval, and Services";book series;"1947945X, 19479468";0,398;Q2;6;26;61;1229;18;3;0,29;47,27;Switzerland;Western Europe;"Springer International Publishing";"2010, 2012, 2017-2024";"Information Systems and Management (Q2); Library and Information Sciences (Q2); Computer Networks and Communications (Q3); Information Systems (Q3)";"Computer Science; Decision Sciences; Social Sciences"
70;19700188202;"International Journal of Digital Accounting Research";journal;"15778517";0,390;Q3;18;6;21;347;58;21;2,33;57,83;United States;Northern America;"Rutgers University";"2010-2023";"Accounting (Q3); Finance (Q3); Information Systems and Management (Q3)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance"
71;21100936589;"Journal of ICT Standardization";journal;"2245800X, 22460853";0,368;Q3;7;20;63;475;92;56;1,56;23,75;Denmark;Western Europe;"River Publishers";"2014-2023";"Computer Networks and Communications (Q3); Computer Science Applications (Q3); Information Systems (Q3); Information Systems and Management (Q3); Management of Technology and Innovation (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences"
72;21100901206;"IAES International Journal of Artificial Intelligence";journal;"20894872, 22528938";0,365;Q3;22;206;379;7015;1028;379;2,51;34,05;Indonesia;Asiatic Region;"Institute of Advanced Engineering and Science (IAES)";"2018-2023";"Artificial Intelligence (Q3); Control and Systems Engineering (Q3); Electrical and Electronic Engineering (Q3); Information Systems and Management (Q3)";"Computer Science; Decision Sciences; Engineering"
73;17500155101;"Lecture Notes in Business Information Processing";book series;"18651348";0,339;Q3;63;664;1884;16465;2195;1618;1,16;24,80;Germany;Western Europe;"Springer Verlag";"2008-2023";"Business and International Management (Q3); Control and Systems Engineering (Q3); Information Systems (Q3); Information Systems and Management (Q3); Management Information Systems (Q3); Modeling and Simulation (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering; Mathematics"
74;21100913325;"Logforum";journal;"1734459X, 18952038";0,339;Q3;14;44;124;2121;253;124;1,60;48,20;Poland;Eastern Europe;"Poznan School of Logistics";"2019-2023";"Information Systems and Management (Q3); Management Information Systems (Q3); Management Science and Operations Research (Q3)";"Business, Management and Accounting; Decision Sciences"
75;21100892782;"Journal of Payments Strategy and Systems";journal;"17501806, 17501814";0,325;Q3;7;25;119;854;89;106;0,62;34,16;United Kingdom;Western Europe;"Henry Stewart Publications";"2018-2023";"Accounting (Q3); Information Systems (Q3); Information Systems and Management (Q3); Management Information Systems (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences"
76;21100863713;"International Journal of Knowledge and Systems Science";journal;"19478216, 19478208";0,317;Q3;11;13;53;613;70;53;0,91;47,15;United States;Northern America;"IGI Global Publishing";"2017-2023";"Artificial Intelligence (Q3); Information Systems (Q3); Information Systems and Management (Q3); Management of Technology and Innovation (Q3); Organizational Behavior and Human Resource Management (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences"
